Leitura,Leitura_filtrada,Escrita,ModoOperacao,ValorDesejado,CicloInicio,CicloFim
3.18954,0.0,0.0,0,0.0,6301368968,6301370511
3.202037,3.18954,0.0,0,0.0,6302323828,6302323863
3.197761,6.37908,0.0,0,0.0,6303323828,6303323856
3.203023,6.387302,0.0,0,0.0,6304323954,6304323982
3.206312,3.206312,5.0,0,0.0,6305323973,6305324008
3.205654,0.030255,5.0,0,0.0,6306324047,6306324077
3.200721,0.029597,5.0,0,0.0,6307324201,6307324231
3.200392,3.200392,5.0,0,0.0,6308324210,6308324240
3.197761,6.370859,5.0,0,0.0,6309324229,6309324259
3.191513,3.191513,5.0,0,0.0,6310324212,6310324242
3.171124,3.171124,5.0,0,0.0,6311324255,6311324286
3.161916,3.161916,5.0,0,0.0,6312324276,6312324306
3.135937,3.135937,5.0,0,0.0,6313324287,6313324317
3.122454,3.122454,5.0,0,0.0,6314324310,6314324340
3.104367,3.104367,5.0,0,0.0,6315324324,6315324354
3.092528,3.092528,5.0,0,0.0,6316324345,6316324375
3.068522,3.068522,5.0,0,0.0,6317324348,6317324378
3.062274,3.062274,5.0,0,0.0,6318324296,6318324326
3.045831,3.045831,5.0,0,0.0,6319324396,6319324426
3.039254,3.039254,5.0,0,0.0,6320324349,6320324391
3.037281,3.037281,5.0,0,0.0,6321324425,6321324455
3.023469,3.023469,5.0,0,0.0,6322324439,6322324470
3.003409,3.003409,5.0,0,0.0,6324324472,6324324502
2.996832,2.996832,5.0,0,0.0,6325324486,6325324516
2.967564,2.967564,5.0,0,0.0,6326324319,6326324349
2.973812,2.973812,5.0,0,0.0,6327324520,6327324550
2.963947,2.963947,5.0,0,0.0,6328324534,6328324567
2.949148,2.949148,5.0,0,0.0,6329324555,6329324585
2.955396,2.955396,5.0,0,0.0,6330324568,6330324598
2.947504,2.947504,5.0,0,0.0,6331324504,6331324534
2.936323,2.936323,5.0,0,0.0,6332324602,6332324632
2.931719,2.931719,5.0,0,0.0,6333324534,6333324565
2.943886,2.943886,5.0,0,0.0,6334324640,6334324670
2.930075,2.930075,5.0,0,0.0,6335324436,6335324466
2.930075,2.930075,5.0,0,0.0,6336324414,6336324444
2.9258,2.9258,5.0,0,0.0,6337324687,6337324718
2.91988,2.91988,5.0,0,0.0,6338324703,6338324733
2.910672,2.910672,5.0,0,0.0,6339324720,6339324750
2.907055,2.907055,5.0,0,0.0,6340324721,6340324752
2.885679,2.885679,5.0,0,0.0,6341324753,6341324784
2.895545,2.895545,5.0,0,0.0,6342324751,6342324781
2.886008,2.886008,5.0,0,0.0,6343324789,6343324820
2.895874,2.895874,5.0,0,0.0,6344324769,6344324799
2.903109,2.903109,5.0,0,0.0,6345324822,6345324852
2.892914,2.892914,5.0,0,0.0,6346324834,6346324864
2.912317,2.912317,5.0,0,0.0,6347324851,6347324881
2.877458,2.877458,5.0,0,0.0,6348324852,6348324882
2.890283,2.890283,5.0,0,0.0,6349324879,6349324910
2.87976,2.87976,5.0,0,0.0,6350324904,6350324935
2.87417,2.87417,5.0,0,0.0,6351324898,6351324929
2.862989,2.862989,5.0,0,0.0,6352324933,6352324963
2.866277,2.866277,5.0,0,0.0,6353324949,6353324980
2.877129,2.877129,5.0,0,0.0,6354324957,6354324987
2.870223,2.870223,5.0,0,0.0,6355324956,6355324986
2.865619,2.865619,5.0,0,0.0,6356324785,6356324815
2.864304,2.864304,5.0,0,0.0,6357324911,6357324941
2.862331,2.862331,5.0,0,0.0,6358324943,6358324973
2.850163,2.850163,5.0,0,0.0,6359325046,6359325077
2.863646,2.863646,5.0,0,0.0,6360324956,6360324987
2.858713,2.858713,5.0,0,0.0,6361325077,6361325107
2.8426,2.8426,5.0,0,0.0,6362325091,6362325121
2.856083,2.856083,5.0,0,0.0,6363325088,6363325118
2.851807,2.851807,5.0,0,0.0,6364325128,6364325159
2.85115,2.85115,5.0,0,0.0,6365325120,6365325150
2.849177,2.849177,5.0,0,0.0,6366325162,6366325191
2.832734,2.832734,5.0,0,0.0,6367325176,6367325218
2.836351,2.836351,5.0,0,0.0,6368325191,6368325221
2.832734,2.832734,5.0,0,0.0,6369325209,6369325239
2.834378,2.834378,5.0,0,0.0,6370325223,6370325253
2.833063,2.833063,5.0,0,0.0,6371325235,6371325266
2.832734,2.832734,5.0,0,0.0,6372325174,6372325204
2.837667,2.837667,5.0,0,0.0,6373325268,6373325298
2.837996,2.837996,5.0,0,0.0,6374325279,6374325309
2.834707,2.834707,5.0,0,0.0,6375325274,6375325304
2.833721,2.833721,5.0,0,0.0,6376325216,6376325245
2.840298,2.840298,5.0,0,0.0,6377325340,6377325370
2.83109,2.83109,5.0,0,0.0,6378325283,6378325313
2.826157,2.826157,5.0,0,0.0,6379325373,6379325403
2.794587,2.816949,5.0,0,0.0,6380325391,6380325421
2.833392,2.833392,5.0,0,0.0,6381325395,6381325425
2.802151,2.802151,5.0,0,0.0,6382325425,6382325456
2.803795,2.803795,5.0,0,0.0,6383325428,6383325459
2.826815,2.826815,5.0,0,0.0,6384325389,6384325419
2.822211,2.822211,5.0,0,0.0,6385325444,6385325474
2.820895,2.820895,5.0,0,0.0,6386325308,6386325338
2.816949,2.816949,5.0,0,0.0,6387325510,6387325540
2.821553,2.821553,5.0,0,0.0,6388325527,6388325557
2.820566,2.820566,5.0,0,0.0,6389325538,6389325568
2.821224,2.821224,5.0,0,0.0,6390325487,6390325518
2.810701,2.810701,5.0,0,0.0,6391325573,6391325603
2.81103,2.81103,5.0,0,0.0,6392325582,6392325612
2.80807,2.80807,5.0,0,0.0,6393325550,6393325580
2.81662,2.81662,5.0,0,0.0,6394325509,6394325539
2.803137,2.803137,5.0,0,0.0,6395325635,6395325666
2.803466,2.803466,5.0,0,0.0,6396325651,6396325681
2.801822,2.801822,5.0,0,0.0,6397325667,6397325697
2.805768,2.805768,5.0,0,0.0,6398325688,6398325718
2.816291,2.816291,5.0,0,0.0,6399325693,6399325724
2.786694,2.820238,5.0,0,0.0,6400325706,6400325736
2.790641,2.790641,5.0,0,0.0,6401325679,6401325710
2.785708,2.761044,5.0,0,0.0,6402325749,6402325779
2.806755,2.756111,5.0,0,0.0,6403325753,6403325783
2.78801,2.78801,5.0,0,0.0,6404325777,6404325807
2.801493,2.801493,5.0,0,0.0,6405325797,6405325828
2.792943,2.792943,5.0,0,0.0,6406325816,6406325847
2.795902,2.795902,5.0,0,0.0,6407325830,6407325860
2.799191,2.799191,5.0,0,0.0,6408325809,6408325839
2.794587,2.794587,5.0,0,0.0,6409325862,6409325892
2.800177,2.800177,5.0,0,0.0,6410325843,6410325873
2.800177,2.800177,5.0,0,0.0,6411325895,6411325925
2.788996,2.788996,5.0,0,0.0,6412325910,6412325941
2.79656,2.79656,5.0,0,0.0,6413325906,6413325937
2.793272,2.793272,5.0,0,0.0,6414325948,6414325993
2.791956,2.791956,5.0,0,0.0,6415325916,6415325946
2.794587,2.794587,5.0,0,0.0,6416325977,6416326008
2.803466,2.803466,5.0,0,0.0,6417325983,6417326013
2.79097,2.79097,5.0,0,0.0,6418326006,6418326035
2.793929,2.793929,5.0,0,0.0,6419325959,6419325989
2.780775,2.780775,5.0,0,0.0,6420326039,6420326070
2.771238,2.771238,5.0,0,0.0,6421326057,6421326087
2.771238,2.771238,5.0,0,0.0,6422326079,6422326110
2.769265,2.769265,5.0,0,0.0,6423325845,6423325875
2.798533,2.769265,5.0,0,0.0,6424326109,6424326140
2.772225,2.772225,5.0,0,0.0,6425326127,6425326157
2.780446,2.780446,5.0,0,0.0,6426326112,6426326142
2.769594,2.769594,5.0,0,0.0,6427326155,6427326185
2.778144,2.778144,5.0,0,0.0,6428326173,6428326204
2.782419,2.782419,5.0,0,0.0,6429326188,6429326219
2.757755,2.786694,5.0,0,0.0,6430326191,6430326221
2.787681,2.787681,5.0,0,0.0,6431326217,6431326247
2.787023,2.787023,5.0,0,0.0,6432326242,6432326272
2.766963,2.786366,5.0,0,0.0,6433326221,6433326251
2.77091,2.77091,5.0,0,0.0,6434326272,6434326302
2.790312,2.755453,5.0,0,0.0,6435326285,6435326315
2.782091,2.782091,5.0,0,0.0,6436326302,6436326332
2.764004,2.801493,5.0,0,0.0,6437326318,6437326349
2.764661,2.764661,5.0,0,0.0,6438326334,6438326364
2.787352,2.746574,5.0,0,0.0,6439326353,6439326384
2.767621,2.767621,5.0,0,0.0,6440326356,6440326386
2.795902,2.795902,5.0,0,0.0,6441326391,6441326421
2.760386,2.816949,5.0,0,0.0,6442326262,6442326304
2.754138,2.754138,5.0,0,0.0,6443326394,6443326423
2.773211,2.718622,5.0,0,0.0,6444326260,6444326290
2.764332,2.764332,5.0,0,0.0,6445326397,6445326427
2.769594,2.769594,5.0,0,0.0,6446326466,6446326497
2.769265,2.769265,5.0,0,0.0,6447326483,6447326513
2.777487,2.777487,5.0,0,0.0,6448326471,6448326501
2.767292,2.767292,5.0,0,0.0,6449326471,6449326501
2.774856,2.774856,5.0,0,0.0,6450326532,6450326562
2.780446,2.780446,5.0,0,0.0,6451326541,6451326572
2.764661,2.764661,5.0,0,0.0,6452326556,6452326586
2.768608,2.768608,5.0,0,0.0,6453326578,6453326609
2.768936,2.768936,5.0,0,0.0,6454326601,6454326631
2.774856,2.774856,5.0,0,0.0,6455326617,6455326647
2.772225,2.772225,5.0,0,0.0,6456326624,6456326654
2.766634,2.766634,5.0,0,0.0,6457326648,6457326679
2.767292,2.767292,5.0,0,0.0,6458326585,6458326615
