Leitura,Leitura_filtrada,Escrita,ModoOperacao,ValorDesejado,CicloInicio,CicloFim
2.733749,2.694944,6.0,0,0.0,7816348772,7816348803
2.707112,2.707112,6.0,0,0.0,7817348807,7817348838
2.73342,2.73342,6.0,0,0.0,7818348844,7818348874
2.724212,2.724212,6.0,0,0.0,7819348840,7819348870
2.718622,2.718622,6.0,0,0.0,7820348861,7820348891
2.709085,2.709085,6.0,0,0.0,7821348803,7821348833
2.70185,2.70185,6.0,0,0.0,7822348886,7822348916
2.560772,2.692314,6.0,0,0.0,7823348909,7823348939
2.687381,2.687381,6.0,0,0.0,7824348930,7824348961
2.679159,2.679159,6.0,0,0.0,7825348944,7825348974
2.675871,2.675871,6.0,0,0.0,7826348896,7826348926
2.646603,2.646603,6.0,0,0.0,7827348983,7827349013
2.649563,2.649563,6.0,0,0.0,7828349007,7828349037
2.668636,2.668636,6.0,0,0.0,7829349018,7829349049
2.646274,2.646274,6.0,0,0.0,7830349038,7830349069
2.659099,2.659099,6.0,0,0.0,7831349056,7831349100
2.627529,2.627529,6.0,0,0.0,7832349077,7832349107
2.640026,2.640026,6.0,0,0.0,7833349093,7833349123
2.626543,2.626543,6.0,0,0.0,7834349108,7834349138
2.628845,2.628845,6.0,0,0.0,7835349128,7835349158
2.624241,2.624241,6.0,0,0.0,7836349143,7836349174
2.62457,2.62457,6.0,0,0.0,7837349160,7837349190
2.613718,2.613718,6.0,0,0.0,7838349179,7838349210
2.610758,2.610758,6.0,0,0.0,7839349194,7839349225
2.611416,2.611416,6.0,0,0.0,7840349214,7840349244
2.604838,2.604838,6.0,0,0.0,7841349152,7841349183
2.602208,2.602208,6.0,0,0.0,7842349252,7842349283
2.601221,2.601221,6.0,0,0.0,7843349267,7843349297
2.601879,2.601879,6.0,0,0.0,7844349280,7844349309
2.595631,2.595631,6.0,0,0.0,7845349300,7845349330
2.597604,2.597604,6.0,0,0.0,7846349330,7846349361
2.594973,2.594973,6.0,0,0.0,7847349332,7847349362
2.583134,2.583134,6.0,0,0.0,7848349351,7848349381
2.582148,2.582148,6.0,0,0.0,7849349366,7849349396
2.592013,2.592013,6.0,0,0.0,7850349386,7850349417
2.581819,2.581819,6.0,0,0.0,7851349297,7851349329
2.582805,2.582805,6.0,0,0.0,7852349421,7852349452
2.579517,2.579517,6.0,0,0.0,7853349252,7853349294
2.575899,2.575899,6.0,0,0.0,7854349457,7854349488
2.578201,2.578201,6.0,0,0.0,7855349475,7855349505
2.581161,2.581161,6.0,0,0.0,7856349487,7856349517
2.576557,2.576557,6.0,0,0.0,7857349503,7857349534
2.573926,2.573926,6.0,0,0.0,7858349409,7858349439
2.572611,2.572611,6.0,0,0.0,7859349540,7859349570
2.568993,2.568993,6.0,0,0.0,7860349568,7860349611
2.568993,2.568993,6.0,0,0.0,7861349590,7861349620
2.56998,2.56998,6.0,0,0.0,7862349591,7862349620
2.565047,2.565047,6.0,0,0.0,7863349607,7863349637
2.568665,2.568665,6.0,0,0.0,7864349627,7864349658
2.56143,2.56143,6.0,0,0.0,7865349647,7865349676
2.543343,2.543343,6.0,0,0.0,7866349663,7866349693
2.555839,2.536108,6.0,0,0.0,7867349684,7867349713
2.554853,2.554853,6.0,0,0.0,7868349699,7868349730
2.539068,2.567349,6.0,0,0.0,7869349713,7869349743
2.555182,2.555182,6.0,0,0.0,7870349732,7870349762
2.547947,2.547947,6.0,0,0.0,7871349763,7871349793
2.564389,2.540712,6.0,0,0.0,7872349772,7872349803
2.537752,2.537752,6.0,0,0.0,7873349784,7873349814
2.542685,2.542685,6.0,0,0.0,7874349800,7874349831
2.556168,2.556168,6.0,0,0.0,7875349821,7875349852
2.544329,2.544329,6.0,0,0.0,7876349792,7876349823
2.538739,2.538739,6.0,0,0.0,7877349848,7877349879
2.548933,2.548933,6.0,0,0.0,7878349871,7878349901
2.550906,2.550906,6.0,0,0.0,7879349887,7879349917
2.551235,2.551235,6.0,0,0.0,7880349900,7880349930
2.551893,2.551893,6.0,0,0.0,7881349941,7881349971
2.542027,2.542027,6.0,0,0.0,7882349938,7882349968
2.550249,2.550249,6.0,0,0.0,7883349906,7883349936
2.539397,2.539397,6.0,0,0.0,7884349969,7884349999
2.548933,2.548933,6.0,0,0.0,7885349992,7885350023
2.536766,2.536766,6.0,0,0.0,7886350006,7886350035
2.542356,2.542356,6.0,0,0.0,7887350027,7887350057
2.53282,2.53282,6.0,0,0.0,7888349882,7888349912
2.53841,2.53841,6.0,0,0.0,7889350061,7889350091
2.544329,2.544329,6.0,0,0.0,7890350007,7890350037
2.532162,2.54992,6.0,0,0.0,7891350111,7891350140
2.529202,2.529202,6.0,0,0.0,7892350108,7892350138
2.519994,2.519994,6.0,0,0.0,7893350125,7893350155
2.544329,2.510786,6.0,0,0.0,7894350144,7894350174
2.535122,2.535122,6.0,0,0.0,7895350161,7895350191
2.534464,2.559457,6.0,0,0.0,7896350178,7896350208
2.539068,2.539068,6.0,0,0.0,7897350150,7897350181
2.53841,2.53841,6.0,0,0.0,7898350207,7898350238
2.534464,2.534464,6.0,0,0.0,7899350230,7899350260
2.537752,2.537752,6.0,0,0.0,7900350250,7900350280
2.533806,2.533806,6.0,0,0.0,7901350274,7901350304
2.537752,2.537752,6.0,0,0.0,7902350278,7902350308
2.538739,2.538739,6.0,0,0.0,7903350294,7903350325
2.536108,2.536108,6.0,0,0.0,7904350235,7904350265
2.539068,2.539068,6.0,0,0.0,7905350331,7905350362
2.536437,2.536437,6.0,0,0.0,7906350345,7906350375
2.538739,2.538739,6.0,0,0.0,7907350361,7907350391
2.542685,2.542685,6.0,0,0.0,7908350381,7908350411
2.534464,2.534464,6.0,0,0.0,7909350394,7909350424
2.533477,2.533477,6.0,0,0.0,7910350407,7910350438
2.53841,2.53841,6.0,0,0.0,7911350447,7911350489
2.532162,2.532162,6.0,0,0.0,7912350444,7912350474
2.528873,2.528873,6.0,0,0.0,7913350462,7913350492
2.528544,2.528544,6.0,0,0.0,7914350477,7914350507
2.525585,2.525585,6.0,0,0.0,7915350496,7915350526
2.530189,2.530189,6.0,0,0.0,7916350519,7916350549
2.527229,2.527229,6.0,0,0.0,7917350533,7917350563
2.526242,2.526242,6.0,0,0.0,7918350470,7918350501
2.529531,2.529531,6.0,0,0.0,7919350561,7919350590
2.529531,2.529531,6.0,0,0.0,7920350578,7920350608
2.52131,2.52131,6.0,0,0.0,7921350452,7921350497
2.523612,2.523612,6.0,0,0.0,7922350610,7922350640
2.529202,2.529202,6.0,0,0.0,7923350624,7923350654
2.521639,2.521639,6.0,0,0.0,7924350638,7924350668
2.518021,2.518021,6.0,0,0.0,7925350663,7925350693
2.514075,2.514075,6.0,0,0.0,7926350679,7926350709
2.514733,2.514733,6.0,0,0.0,7927350692,7927350723
2.527887,2.51539,6.0,0,0.0,7928350713,7928350743
2.529202,2.529202,6.0,0,0.0,7929350726,7929350756
2.533477,2.533477,6.0,0,0.0,7930350746,7930350777
2.514733,2.537752,6.0,0,0.0,7931350774,7931350804
2.521639,2.521639,6.0,0,0.0,7932350807,7932350837
2.515061,2.515061,6.0,0,0.0,7933350794,7933350824
2.508813,2.508813,6.0,0,0.0,7934350811,7934350841
2.500921,2.500921,6.0,0,0.0,7935350823,7935350854
2.512759,2.494673,6.0,0,0.0,7936350839,7936350869
2.510458,2.510458,6.0,0,0.0,7937350862,7937350892
2.519008,2.519008,6.0,0,0.0,7938350873,7938350903
2.514733,2.514733,6.0,0,0.0,7939350887,7939350917
2.517035,2.517035,6.0,0,0.0,7940350905,7940350935
2.519665,2.519665,6.0,0,0.0,7941350938,7941350968
2.522296,2.522296,6.0,0,0.0,7942350942,7942350972
2.51539,2.51539,6.0,0,0.0,7943350961,7943350991
2.520323,2.520323,6.0,0,0.0,7944350972,7944351002
2.519994,2.519994,6.0,0,0.0,7945350993,7945351023
2.512759,2.512759,6.0,0,0.0,7946350961,7946350991
2.515061,2.515061,6.0,0,0.0,7947351026,7947351056
2.513417,2.513417,6.0,0,0.0,7948350996,7948351025
2.516377,2.516377,6.0,0,0.0,7949351058,7949351088
2.510129,2.510129,6.0,0,0.0,7950350996,7950351026
2.510129,2.510129,6.0,0,0.0,7951351097,7951351127
2.507498,2.507498,6.0,0,0.0,7952351109,7952351139
2.507498,2.507498,6.0,0,0.0,7953351122,7953351153
2.497632,2.497632,6.0,0,0.0,7954351132,7954351162
